"filename", "language", "JSON", "JavaScript", "HTML", "XML", "Markdown", "JavaScript JSX", "CSS", "comment", "blank", "total"
"c:\projects\examboard\frontend-react\README.md", "Markdown", 0, 0, 0, 0, 21, 0, 0, 0, 13, 34
"c:\projects\examboard\frontend-react\eslint.config.js", "JavaScript", 0, 37, 0, 0, 0, 0, 0, 0, 2, 39
"c:\projects\examboard\frontend-react\index.html", "HTML", 0, 0, 17, 0, 0, 0, 0, 0, 1, 18
"c:\projects\examboard\frontend-react\package-lock.json", "JSON", 6353, 0, 0, 0, 0, 0, 0, 0, 1, 6354
"c:\projects\examboard\frontend-react\package.json", "JSON", 61, 0, 0, 0, 0, 0, 0, 0, 1, 62
"c:\projects\examboard\frontend-react\public\vite.svg", "XML", 0, 0, 0, 1, 0, 0, 0, 0, 1, 2
"c:\projects\examboard\frontend-react\src\AppRouter.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 7, 0, 0, 3, 10
"c:\projects\examboard\frontend-react\src\ProtectedRoute.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 23, 0, 0, 6, 29
"c:\projects\examboard\frontend-react\src\STEMEditorDoc.md", "Markdown", 0, 0, 0, 0, 28, 0, 0, 0, 22, 50
"c:\projects\examboard\frontend-react\src\api\Api.js", "JavaScript", 0, 30, 0, 0, 0, 0, 0, 6, 6, 42
"c:\projects\examboard\frontend-react\src\assets\react.svg", "XML", 0, 0, 0, 1, 0, 0, 0, 0, 1, 2
"c:\projects\examboard\frontend-react\src\color-palette.css", "CSS", 0, 0, 0, 0, 0, 0, 23, 0, 3, 26
"c:\projects\examboard\frontend-react\src\components\ErrorMessage.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 6, 0, 1, 2, 9
"c:\projects\examboard\frontend-react\src\components\Loader.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 23, 0, 0, 4, 27
"c:\projects\examboard\frontend-react\src\components\QuestionEditor.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 887, 0, 44, 61, 992
"c:\projects\examboard\frontend-react\src\components\QuestionRenderer.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 29, 0, 1, 8, 38
"c:\projects\examboard\frontend-react\src\components\RichTextEditor.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 887, 0, 44, 61, 992
"c:\projects\examboard\frontend-react\src\components\SmartModal.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 150, 0, 2, 13, 165
"c:\projects\examboard\frontend-react\src\components\admin\MobileNavbar.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 92, 0, 0, 7, 99
"c:\projects\examboard\frontend-react\src\components\customer\MobileNavbar.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 96, 0, 0, 7, 103
"c:\projects\examboard\frontend-react\src\context\AuthContext.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 132, 0, 5, 22, 159
"c:\projects\examboard\frontend-react\src\general-helpers.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 41, 0, 0, 11, 52
"c:\projects\examboard\frontend-react\src\index.css", "CSS", 0, 0, 0, 0, 0, 0, 47, 1, 8, 56
"c:\projects\examboard\frontend-react\src\layouts\AdminLayout.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 13, 0, 0, 3, 16
"c:\projects\examboard\frontend-react\src\layouts\AuthLayout.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 20, 0, 0, 5, 25
"c:\projects\examboard\frontend-react\src\layouts\GuestLayout.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 20, 0, 0, 5, 25
"c:\projects\examboard\frontend-react\src\layouts\TeacherLayout.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 6, 0, 0, 4, 10
